,date,num_pangram,max_score,max_words,min_genius,letters,req_letter
0,"Friday, June 4, 2021",1,246,58,172,O,D
1,"Friday, June 4, 2021",1,246,58,172,P,D
2,"Friday, June 4, 2021",1,246,58,172,G,D
3,"Friday, June 4, 2021",1,246,58,172,D,D
4,"Friday, June 4, 2021",1,246,58,172,Y,D
5,"Friday, June 4, 2021",1,246,58,172,E,D
6,"Friday, June 4, 2021",1,246,58,172,A,D
7,"Thursday, June 3, 2021",1,267,59,187,K,N
8,"Thursday, June 3, 2021",1,267,59,187,L,N
9,"Thursday, June 3, 2021",1,267,59,187,|,N
10,"Thursday, June 3, 2021",1,267,59,187,N,N
11,"Thursday, June 3, 2021",1,267,59,187,T,N
12,"Thursday, June 3, 2021",1,267,59,187,E,N
13,"Thursday, June 3, 2021",1,267,59,187,C,N
14,"Wednesday, June 2, 2021",2,260,50,182,N,B
15,"Wednesday, June 2, 2021",2,260,50,182,O,B
16,"Wednesday, June 2, 2021",2,260,50,182,|,B
17,"Wednesday, June 2, 2021",2,260,50,182,B,B
18,"Wednesday, June 2, 2021",2,260,50,182,Y,B
19,"Wednesday, June 2, 2021",2,260,50,182,G,B
20,"Wednesday, June 2, 2021",2,260,50,182,E,B
21,"Tuesday, June 1, 2021",2,177,39,124,O,|
22,"Tuesday, June 1, 2021",2,177,39,124,R,|
23,"Tuesday, June 1, 2021",2,177,39,124,N,|
24,"Tuesday, June 1, 2021",2,177,39,124,|,|
25,"Tuesday, June 1, 2021",2,177,39,124,U,|
26,"Tuesday, June 1, 2021",2,177,39,124,L,|
27,"Tuesday, June 1, 2021",2,177,39,124,C,|
28,"Monday, May 31, 2021",4,269,53,188,H,T
29,"Monday, May 31, 2021",4,269,53,188,|,T
30,"Monday, May 31, 2021",4,269,53,188,G,T
31,"Monday, May 31, 2021",4,269,53,188,T,T
32,"Monday, May 31, 2021",4,269,53,188,L,T
33,"Monday, May 31, 2021",4,269,53,188,E,T
34,"Monday, May 31, 2021",4,269,53,188,D,T
35,"Sunday, May 30, 2021",1,99,21,69,L,B
36,"Sunday, May 30, 2021",1,99,21,69,T,B
37,"Sunday, May 30, 2021",1,99,21,69,|,B
38,"Sunday, May 30, 2021",1,99,21,69,B,B
39,"Sunday, May 30, 2021",1,99,21,69,Y,B
40,"Sunday, May 30, 2021",1,99,21,69,H,B
41,"Sunday, May 30, 2021",1,99,21,69,E,B
42,"Saturday, May 29, 2021",1,295,69,207,O,A
43,"Saturday, May 29, 2021",1,295,69,207,T,A
44,"Saturday, May 29, 2021",1,295,69,207,L,A
45,"Saturday, May 29, 2021",1,295,69,207,A,A
46,"Saturday, May 29, 2021",1,295,69,207,V,A
47,"Saturday, May 29, 2021",1,295,69,207,G,A
48,"Saturday, May 29, 2021",1,295,69,207,E,A
49,"Friday, May 28, 2021",2,308,68,216,H,N
50,"Friday, May 28, 2021",2,308,68,216,O,N
51,"Friday, May 28, 2021",2,308,68,216,E,N
52,"Friday, May 28, 2021",2,308,68,216,N,N
53,"Friday, May 28, 2021",2,308,68,216,P,N
54,"Friday, May 28, 2021",2,308,68,216,D,N
55,"Friday, May 28, 2021",2,308,68,216,A,N
56,"Thursday, May 27, 2021",1,99,24,69,N,F
57,"Thursday, May 27, 2021",1,99,24,69,P,F
58,"Thursday, May 27, 2021",1,99,24,69,L,F
59,"Thursday, May 27, 2021",1,99,24,69,F,F
60,"Thursday, May 27, 2021",1,99,24,69,U,F
61,"Thursday, May 27, 2021",1,99,24,69,|,F
62,"Thursday, May 27, 2021",1,99,24,69,A,F
63,"Wednesday, May 26, 2021",3,243,47,170,O,N
64,"Wednesday, May 26, 2021",3,243,47,170,T,N
65,"Wednesday, May 26, 2021",3,243,47,170,|,N
66,"Wednesday, May 26, 2021",3,243,47,170,N,N
67,"Wednesday, May 26, 2021",3,243,47,170,U,N
68,"Wednesday, May 26, 2021",3,243,47,170,D,N
69,"Wednesday, May 26, 2021",3,243,47,170,C,N
70,"Tuesday, May 25, 2021",1,238,51,167,|,T
71,"Tuesday, May 25, 2021",1,238,51,167,R,T
72,"Tuesday, May 25, 2021",1,238,51,167,H,T
73,"Tuesday, May 25, 2021",1,238,51,167,T,T
74,"Tuesday, May 25, 2021",1,238,51,167,U,T
75,"Tuesday, May 25, 2021",1,238,51,167,C,T
76,"Tuesday, May 25, 2021",1,238,51,167,A,T
77,"Monday, May 24, 2021",6,406,74,284,O,|
78,"Monday, May 24, 2021",6,406,74,284,P,|
79,"Monday, May 24, 2021",6,406,74,284,L,|
80,"Monday, May 24, 2021",6,406,74,284,|,|
81,"Monday, May 24, 2021",6,406,74,284,T,|
82,"Monday, May 24, 2021",6,406,74,284,C,|
83,"Monday, May 24, 2021",6,406,74,284,A,|
84,"Sunday, May 23, 2021",1,228,61,160,O,E
85,"Sunday, May 23, 2021",1,228,61,160,T,E
86,"Sunday, May 23, 2021",1,228,61,160,N,E
87,"Sunday, May 23, 2021",1,228,61,160,E,E
88,"Sunday, May 23, 2021",1,228,61,160,V,E
89,"Sunday, May 23, 2021",1,228,61,160,L,E
90,"Sunday, May 23, 2021",1,228,61,160,B,E
91,"Saturday, May 22, 2021",3,235,39,165,|,W
92,"Saturday, May 22, 2021",3,235,39,165,N,W
93,"Saturday, May 22, 2021",3,235,39,165,G,W
94,"Saturday, May 22, 2021",3,235,39,165,W,W
95,"Saturday, May 22, 2021",3,235,39,165,R,W
96,"Saturday, May 22, 2021",3,235,39,165,D,W
97,"Saturday, May 22, 2021",3,235,39,165,A,W
98,"Friday, May 21, 2021",1,169,41,118,O,M
99,"Friday, May 21, 2021",1,169,41,118,R,M
100,"Friday, May 21, 2021",1,169,41,118,L,M
101,"Friday, May 21, 2021",1,169,41,118,M,M
102,"Friday, May 21, 2021",1,169,41,118,Y,M
103,"Friday, May 21, 2021",1,169,41,118,J,M
104,"Friday, May 21, 2021",1,169,41,118,A,M
105,"Thursday, May 20, 2021",2,126,39,88,M,T
106,"Thursday, May 20, 2021",2,126,39,88,N,T
107,"Thursday, May 20, 2021",2,126,39,88,L,T
108,"Thursday, May 20, 2021",2,126,39,88,T,T
109,"Thursday, May 20, 2021",2,126,39,88,O,T
110,"Thursday, May 20, 2021",2,126,39,88,|,T
111,"Thursday, May 20, 2021",2,126,39,88,H,T
112,"Wednesday, May 19, 2021",1,200,37,140,O,|
113,"Wednesday, May 19, 2021",1,200,37,140,T,|
114,"Wednesday, May 19, 2021",1,200,37,140,N,|
115,"Wednesday, May 19, 2021",1,200,37,140,|,|
116,"Wednesday, May 19, 2021",1,200,37,140,X,|
117,"Wednesday, May 19, 2021",1,200,37,140,F,|
118,"Wednesday, May 19, 2021",1,200,37,140,A,|
119,"Tuesday, May 18, 2021",1,141,33,99,O,A
120,"Tuesday, May 18, 2021",1,141,33,99,R,A
121,"Tuesday, May 18, 2021",1,141,33,99,L,A
122,"Tuesday, May 18, 2021",1,141,33,99,A,A
123,"Tuesday, May 18, 2021",1,141,33,99,U,A
124,"Tuesday, May 18, 2021",1,141,33,99,J,A
125,"Tuesday, May 18, 2021",1,141,33,99,C,A
126,"Monday, May 17, 2021",1,147,33,103,H,C
127,"Monday, May 17, 2021",1,147,33,103,L,C
128,"Monday, May 17, 2021",1,147,33,103,E,C
129,"Monday, May 17, 2021",1,147,33,103,C,C
130,"Monday, May 17, 2021",1,147,33,103,Y,C
131,"Monday, May 17, 2021",1,147,33,103,B,C
132,"Monday, May 17, 2021",1,147,33,103,A,C
133,"Sunday, May 16, 2021",1,168,35,118,N,A
134,"Sunday, May 16, 2021",1,168,35,118,U,A
135,"Sunday, May 16, 2021",1,168,35,118,|,A
136,"Sunday, May 16, 2021",1,168,35,118,A,A
137,"Sunday, May 16, 2021",1,168,35,118,W,A
138,"Sunday, May 16, 2021",1,168,35,118,G,A
139,"Sunday, May 16, 2021",1,168,35,118,F,A
140,"Saturday, May 15, 2021",1,277,58,194,L,N
141,"Saturday, May 15, 2021",1,277,58,194,Q,N
142,"Saturday, May 15, 2021",1,277,58,194,E,N
143,"Saturday, May 15, 2021",1,277,58,194,N,N
144,"Saturday, May 15, 2021",1,277,58,194,U,N
145,"Saturday, May 15, 2021",1,277,58,194,D,N
146,"Saturday, May 15, 2021",1,277,58,194,A,N
147,"Friday, May 14, 2021",1,203,42,142,|,N
148,"Friday, May 14, 2021",1,203,42,142,M,N
149,"Friday, May 14, 2021",1,203,42,142,D,N
150,"Friday, May 14, 2021",1,203,42,142,N,N
151,"Friday, May 14, 2021",1,203,42,142,Y,N
152,"Friday, May 14, 2021",1,203,42,142,C,N
153,"Friday, May 14, 2021",1,203,42,142,A,N
154,"Thursday, May 13, 2021",1,125,34,88,H,M
155,"Thursday, May 13, 2021",1,125,34,88,L,M
156,"Thursday, May 13, 2021",1,125,34,88,E,M
157,"Thursday, May 13, 2021",1,125,34,88,M,M
158,"Thursday, May 13, 2021",1,125,34,88,Y,M
159,"Thursday, May 13, 2021",1,125,34,88,C,M
160,"Thursday, May 13, 2021",1,125,34,88,A,M
161,"Wednesday, May 12, 2021",1,93,27,65,O,C
162,"Wednesday, May 12, 2021",1,93,27,65,P,C
163,"Wednesday, May 12, 2021",1,93,27,65,K,C
164,"Wednesday, May 12, 2021",1,93,27,65,C,C
165,"Wednesday, May 12, 2021",1,93,27,65,T,C
166,"Wednesday, May 12, 2021",1,93,27,65,J,C
167,"Wednesday, May 12, 2021",1,93,27,65,A,C
168,"Tuesday, May 11, 2021",1,190,41,133,L,B
169,"Tuesday, May 11, 2021",1,190,41,133,T,B
170,"Tuesday, May 11, 2021",1,190,41,133,E,B
171,"Tuesday, May 11, 2021",1,190,41,133,B,B
172,"Tuesday, May 11, 2021",1,190,41,133,X,B
173,"Tuesday, May 11, 2021",1,190,41,133,C,B
174,"Tuesday, May 11, 2021",1,190,41,133,A,B
175,"Monday, May 10, 2021",1,186,35,130,H,M
176,"Monday, May 10, 2021",1,186,35,130,L,M
177,"Monday, May 10, 2021",1,186,35,130,E,M
178,"Monday, May 10, 2021",1,186,35,130,M,M
179,"Monday, May 10, 2021",1,186,35,130,U,M
180,"Monday, May 10, 2021",1,186,35,130,D,M
181,"Monday, May 10, 2021",1,186,35,130,B,M
182,"Sunday, May 9, 2021",4,360,68,252,N,L
183,"Sunday, May 9, 2021",4,360,68,252,O,L
184,"Sunday, May 9, 2021",4,360,68,252,|,L
185,"Sunday, May 9, 2021",4,360,68,252,L,L
186,"Sunday, May 9, 2021",4,360,68,252,W,L
187,"Sunday, May 9, 2021",4,360,68,252,G,L
188,"Sunday, May 9, 2021",4,360,68,252,B,L
189,"Saturday, May 8, 2021",1,229,46,160,N,Y
190,"Saturday, May 8, 2021",1,229,46,160,O,Y
191,"Saturday, May 8, 2021",1,229,46,160,M,Y
192,"Saturday, May 8, 2021",1,229,46,160,Y,Y
193,"Saturday, May 8, 2021",1,229,46,160,R,Y
194,"Saturday, May 8, 2021",1,229,46,160,L,Y
195,"Saturday, May 8, 2021",1,229,46,160,A,Y
196,"Friday, May 7, 2021",1,143,35,100,R,|
197,"Friday, May 7, 2021",1,143,35,100,T,|
198,"Friday, May 7, 2021",1,143,35,100,O,|
199,"Friday, May 7, 2021",1,143,35,100,|,|
200,"Friday, May 7, 2021",1,143,35,100,V,|
201,"Friday, May 7, 2021",1,143,35,100,L,|
202,"Friday, May 7, 2021",1,143,35,100,C,|
203,"Thursday, May 6, 2021",1,137,26,96,P,M
204,"Thursday, May 6, 2021",1,137,26,96,T,M
